"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2021","12,729.2","12,729.2","12,729.2","12,729.2","0.10K","0.00%"
"06/21/2021","12,729.2","12,729.2","12,729.2","12,729.2","0.20K","-0.38%"
"06/18/2021","12,778.1","13,610.4","13,610.4","12,778.1","2.00K","-6.79%"
"06/17/2021","13,708.3","13,708.3","13,708.3","13,708.3","0.10K","-5.41%"
"06/16/2021","14,491.7","14,589.6","14,589.6","14,491.7","0.30K","5.71%"
"06/15/2021","13,708.3","13,708.3","13,806.3","13,708.3","531.70K","5.66%"
"06/14/2021","12,974.0","14,491.7","14,491.7","12,974.0","115.10K","-6.69%"
"06/11/2021","13,904.2","13,512.5","13,904.2","13,512.5","14.20K","2.90%"
"06/10/2021","13,512.5","12,827.1","13,512.5","12,827.1","4.60K","6.15%"
"06/09/2021","12,729.2","12,435.4","13,414.6","12,435.4","6.90K","-4.41%"
"06/08/2021","13,316.7","13,316.7","13,316.7","13,316.7","4.50K","-1.45%"
"06/07/2021","13,512.5","13,512.5","13,512.5","13,512.5","0.30K","0.00%"
"06/04/2021","13,512.5","13,218.8","13,512.5","13,218.8","17.10K","4.55%"
"06/03/2021","12,925.0","12,631.3","12,925.0","11,750.0","28.10K","2.72%"
"06/02/2021","12,582.3","12,582.3","12,582.3","12,582.3","0.10K","0.39%"
"05/28/2021","12,533.3","12,533.3","12,533.3","12,533.3","22.10K","6.67%"
"05/27/2021","11,750.0","11,750.0","11,750.0","11,750.0","4.80K","-12.96%"
"05/26/2021","13,500.0","13,500.0","13,500.0","13,500.0","","7.71%"
"05/24/2021","12,533.3","12,533.3","12,533.3","12,533.3","0.50K","0.00%"
"05/21/2021","12,533.3","12,533.3","12,533.3","12,533.3","25.10K","0.00%"
"05/19/2021","12,533.3","12,533.3","12,533.3","12,533.3","30.00K","0.00%"
"05/18/2021","12,533.3","12,533.3","12,533.3","12,533.3","14.80K","0.00%"
"05/17/2021","12,533.3","12,827.1","12,827.1","12,533.3","12.60K","-7.16%"
"05/14/2021","13,500.0","13,500.0","13,500.0","13,500.0","","5.25%"
"05/12/2021","12,827.1","12,827.1","12,827.1","12,827.1","0.20K","0.00%"
"05/11/2021","12,827.1","12,729.2","12,827.1","12,729.2","4.30K","0.77%"
"05/10/2021","12,729.2","12,631.3","12,729.2","12,631.3","19.80K","1.56%"
"05/07/2021","12,533.3","12,435.4","12,533.3","12,435.4","10.30K","-1.54%"
"05/05/2021","12,729.2","12,729.2","12,729.2","12,729.2","0.10K","1.56%"
"05/04/2021","12,533.3","12,435.4","12,533.3","12,435.4","13.00K","0.79%"
"04/29/2021","12,435.4","12,435.4","12,435.4","12,435.4","0.10K","0.00%"
"04/28/2021","12,435.4","12,337.5","12,435.4","12,337.5","2.00K","-7.89%"
"04/23/2021","13,500.0","13,500.0","13,500.0","13,500.0","","8.56%"
"04/22/2021","12,435.4","12,337.5","12,533.3","12,337.5","14.50K","1.60%"
"04/20/2021","12,239.6","12,239.6","12,239.6","12,239.6","2.20K","-0.79%"
"04/19/2021","12,337.5","12,729.2","12,729.2","12,337.5","16.50K","-1.56%"
"04/16/2021","12,533.3","12,435.4","12,533.3","12,435.4","20.80K","1.59%"
"04/15/2021","12,337.5","12,239.6","12,337.5","12,239.6","4.10K","0.00%"
"04/13/2021","12,337.5","12,239.6","12,337.5","12,239.6","7.10K","0.00%"
"04/12/2021","12,337.5","13,316.7","13,316.7","12,337.5","8.00K","-4.55%"
"04/09/2021","12,925.0","12,239.6","12,925.0","12,239.6","4.40K","5.60%"
"04/08/2021","12,239.6","12,239.6","12,239.6","12,239.6","3.50K","0.00%"
"04/07/2021","12,239.6","12,239.6","12,239.6","12,239.6","13.90K","-1.57%"
"04/06/2021","12,435.4","12,435.4","12,435.4","12,435.4","1.00K","5.83%"
"04/05/2021","11,750.0","11,750.0","11,750.0","11,750.0","5.00K","0.00%"
"04/02/2021","11,750.0","11,750.0","11,750.0","11,750.0","1.20K","0.00%"
"04/01/2021","11,750.0","12,533.3","12,533.3","11,750.0","4.10K","0.00%"
"03/31/2021","11,750.0","11,750.0","11,750.0","11,750.0","30.60K","2.13%"
"03/30/2021","11,505.2","11,505.2","11,505.2","11,505.2","0.10K","-6.00%"
"03/29/2021","12,239.6","11,407.3","12,925.0","11,407.3","5.20K","0.00%"
"03/25/2021","12,239.6","12,239.6","12,533.3","12,239.6","7.30K","0.00%"
"03/24/2021","12,239.6","12,239.6","12,239.6","12,239.6","1.30K","0.00%"
"03/23/2021","12,239.6","12,239.6","12,239.6","12,043.8","7.90K","0.00%"
"03/22/2021","12,239.6","12,239.6","12,239.6","12,239.6","82.50K","0.00%"
"03/19/2021","12,239.6","12,239.6","12,337.5","12,043.8","14.00K","1.63%"
"03/18/2021","12,043.8","12,533.3","12,533.3","12,043.8","1.80K","-3.91%"
"03/17/2021","12,533.3","12,484.4","12,533.3","12,484.4","0.40K","6.67%"
"03/16/2021","11,750.0","12,533.3","12,533.3","11,750.0","5.50K","-3.61%"
"03/15/2021","12,190.6","12,043.8","12,190.6","11,750.0","16.70K","5.96%"
"03/12/2021","11,505.2","11,505.2","11,505.2","11,505.2","0.10K","0.00%"
"03/11/2021","11,505.2","10,868.8","11,505.2","10,868.8","9.40K","6.82%"
"03/10/2021","10,770.8","10,770.8","10,770.8","10,770.8","12.30K","0.92%"
"03/09/2021","10,672.9","10,672.9","10,672.9","10,672.9","2.00K","-4.39%"
"03/08/2021","11,162.5","10,770.8","11,162.5","10,770.8","16.40K","6.54%"
"03/04/2021","10,477.1","10,477.1","10,477.1","10,477.1","3.00K","0.00%"
"03/02/2021","10,477.1","10,477.1","10,477.1","10,477.1","6.00K","0.00%"
"03/01/2021","10,477.1","10,477.1","10,477.1","10,477.1","0.20K","0.00%"
"02/23/2021","10,477.1","10,477.1","10,477.1","10,477.1","6.60K","7.00%"
"02/22/2021","9,791.7","9,791.7","9,791.7","9,791.7","0.40K","-10.17%"
"02/01/2021","10,900.0","10,900.0","10,900.0","10,900.0","","9.14%"
